TransactionID,Items,DateTime,DayPart,DayType
TN160001,Bread,30-10-2016 09:58,Morning,Weekend
TN160002,Scandinavian,30-10-2016 10:05,Morning,Weekend
TN160002,Scandinavian,30-10-2016 10:05,Morning,Weekend
TN160003,Hot chocolate,30-10-2016 10:07,Morning,Weekend
TN160003,Jam,30-10-2016 10:07,Morning,Weekend
TN160003,Cookies,30-10-2016 10:07,Morning,Weekend
TN160004,Muffin,30-10-2016 10:08,Morning,Weekend
TN160005,Coffee,30-10-2016 10:13,Morning,Weekend
TN160005,Pastry,30-10-2016 10:13,Morning,Weekend
TN160005,Bread,30-10-2016 10:13,Morning,Weekend
TN160006,Medialuna,30-10-2016 10:16,Morning,Weekend
TN160006,Pastry,30-10-2016 10:16,Morning,Weekend
TN160006,Muffin,30-10-2016 10:16,Morning,Weekend
TN160007,Medialuna,30-10-2016 10:19,Morning,Weekend
TN160007,Pastry,30-10-2016 10:19,Morning,Weekend
TN160007,Coffee,30-10-2016 10:19,Morning,Weekend
TN160007,Tea,30-10-2016 10:19,Morning,Weekend
TN160008,Pastry,30-10-2016 10:20,Morning,Weekend
TN160008,Bread,30-10-2016 10:20,Morning,Weekend
TN160009,Bread,30-10-2016 10:21,Morning,Weekend
TN160009,Muffin,30-10-2016 10:21,Morning,Weekend
TN160010,Scandinavian,30-10-2016 10:25,Morning,Weekend
TN160010,Medialuna,30-10-2016 10:25,Morning,Weekend
TN160011,Bread,30-10-2016 10:27,Morning,Weekend
TN160011,Medialuna,30-10-2016 10:27,Morning,Weekend
TN160011,Bread,30-10-2016 10:27,Morning,Weekend
TN160012,Jam,30-10-2016 10:30,Morning,Weekend
TN160012,Coffee,30-10-2016 10:30,Morning,Weekend
TN160012,Tartine,30-10-2016 10:30,Morning,Weekend
TN160012,Pastry,30-10-2016 10:30,Morning,Weekend
TN160012,Tea,30-10-2016 10:30,Morning,Weekend
TN160013,Basket,30-10-2016 10:31,Morning,Weekend
TN160013,Bread,30-10-2016 10:31,Morning,Weekend
TN160013,Coffee,30-10-2016 10:31,Morning,Weekend
TN160014,Bread,30-10-2016 10:32,Morning,Weekend
TN160014,Medialuna,30-10-2016 10:32,Morning,Weekend
TN160014,Pastry,30-10-2016 10:32,Morning,Weekend
TN160015,Mineral water,30-10-2016 10:34,Morning,Weekend
TN160015,Scandinavian,30-10-2016 10:34,Morning,Weekend
TN160016,Bread,30-10-2016 10:37,Morning,Weekend
TN160016,Medialuna,30-10-2016 10:37,Morning,Weekend
TN160016,Coffee,30-10-2016 10:37,Morning,Weekend
